id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,akses_air_minum,jumlah_akses,satuan,tahun
78,32,JAWA BARAT,3213,KABUPATEN SUBANG,TERMINAL AIR ,0,KEPALA KELUARGA,2018
79,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,AIR LEDENG ,34586,KEPALA KELUARGA,2018
80,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,POMPA,91368,KEPALA KELUARGA,2018
81,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SUMUR TERLINDUNGI,60923,KEPALA KELUARGA,2018
82,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MATA AIR TERLINDUNGI,17943,KEPALA KELUARGA,2018
83,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,AIR HUJAN,26,KEPALA KELUARGA,2018
84,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,TERMINAL AIR ,2343,KEPALA KELUARGA,2018
85,32,JAWA BARAT,3215,KABUPATEN KARAWANG,AIR LEDENG ,57250,KEPALA KELUARGA,2018
86,32,JAWA BARAT,3215,KABUPATEN KARAWANG,POMPA,203897,KEPALA KELUARGA,2018
87,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SUMUR TERLINDUNGI,40186,KEPALA KELUARGA,2018
88,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MATA AIR TERLINDUNGI,598,KEPALA KELUARGA,2018
89,32,JAWA BARAT,3215,KABUPATEN KARAWANG,AIR HUJAN,568,KEPALA KELUARGA,2018
90,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TERMINAL AIR ,0,KEPALA KELUARGA,2018
91,32,JAWA BARAT,3216,KABUPATEN BEKASI,AIR LEDENG ,142656,KEPALA KELUARGA,2018
92,32,JAWA BARAT,3216,KABUPATEN BEKASI,POMPA,553225,KEPALA KELUARGA,2018
93,32,JAWA BARAT,3216,KABUPATEN BEKASI,SUMUR TERLINDUNGI,30555,KEPALA KELUARGA,2018
94,32,JAWA BARAT,3216,KABUPATEN BEKASI,MATA AIR TERLINDUNGI,142,KEPALA KELUARGA,2018
95,32,JAWA BARAT,3216,KABUPATEN BEKASI,AIR HUJAN,765,KEPALA KELUARGA,2018
96,32,JAWA BARAT,3216,KABUPATEN BEKASI,TERMINAL AIR ,1946,KEPALA KELUARGA,2018
97,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,AIR LEDENG ,30041,KEPALA KELUARGA,2018
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,POMPA,165133,KEPALA KELUARGA,2018
99,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SUMUR TERLINDUNGI,89316,KEPALA KELUARGA,2018
100,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MATA AIR TERLINDUNGI,53557,KEPALA KELUARGA,2018
101,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,AIR HUJAN,104,KEPALA KELUARGA,2018
102,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,TERMINAL AIR ,13653,KEPALA KELUARGA,2018
103,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,AIR LEDENG ,4797,KEPALA KELUARGA,2018
104,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,POMPA,15635,KEPALA KELUARGA,2018
105,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SUMUR TERLINDUNGI,37311,KEPALA KELUARGA,2018
106,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MATA AIR TERLINDUNGI,1859,KEPALA KELUARGA,2018
107,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,AIR HUJAN,153,KEPALA KELUARGA,2018
108,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,TERMINAL AIR ,0,KEPALA KELUARGA,2018
109,32,JAWA BARAT,3271,KOTA BOGOR,AIR LEDENG ,154786,KEPALA KELUARGA,2018
110,32,JAWA BARAT,3271,KOTA BOGOR,POMPA,91011,KEPALA KELUARGA,2018
111,32,JAWA BARAT,3271,KOTA BOGOR,SUMUR TERLINDUNGI,1291,KEPALA KELUARGA,2018
112,32,JAWA BARAT,3271,KOTA BOGOR,MATA AIR TERLINDUNGI,434,KEPALA KELUARGA,2018
113,32,JAWA BARAT,3271,KOTA BOGOR,AIR HUJAN,0,KEPALA KELUARGA,2018
114,32,JAWA BARAT,3271,KOTA BOGOR,TERMINAL AIR ,3,KEPALA KELUARGA,2018
115,32,JAWA BARAT,3272,KOTA SUKABUMI,AIR LEDENG ,26111,KEPALA KELUARGA,2018
116,32,JAWA BARAT,3272,KOTA SUKABUMI,POMPA,52601,KEPALA KELUARGA,2018
117,32,JAWA BARAT,3272,KOTA SUKABUMI,SUMUR TERLINDUNGI,2141,KEPALA KELUARGA,2018
118,32,JAWA BARAT,3272,KOTA SUKABUMI,MATA AIR TERLINDUNGI,1478,KEPALA KELUARGA,2018
119,32,JAWA BARAT,3272,KOTA SUKABUMI,AIR HUJAN,0,KEPALA KELUARGA,2018
120,32,JAWA BARAT,3272,KOTA SUKABUMI,TERMINAL AIR ,0,KEPALA KELUARGA,2018
121,32,JAWA BARAT,3273,KOTA BANDUNG,AIR LEDENG ,397703,KEPALA KELUARGA,2018
122,32,JAWA BARAT,3273,KOTA BANDUNG,POMPA,7142,KEPALA KELUARGA,2018
123,32,JAWA BARAT,3273,KOTA BANDUNG,SUMUR TERLINDUNGI,50022,KEPALA KELUARGA,2018
124,32,JAWA BARAT,3273,KOTA BANDUNG,MATA AIR TERLINDUNGI,41642,KEPALA KELUARGA,2018
125,32,JAWA BARAT,3273,KOTA BANDUNG,AIR HUJAN,0,KEPALA KELUARGA,2018
126,32,JAWA BARAT,3273,KOTA BANDUNG,TERMINAL AIR ,11672,KEPALA KELUARGA,2018
127,32,JAWA BARAT,3274,KOTA CIREBON,AIR LEDENG ,60271,KEPALA KELUARGA,2018
128,32,JAWA BARAT,3274,KOTA CIREBON,POMPA,996,KEPALA KELUARGA,2018
129,32,JAWA BARAT,3274,KOTA CIREBON,SUMUR TERLINDUNGI,9264,KEPALA KELUARGA,2018
130,32,JAWA BARAT,3274,KOTA CIREBON,MATA AIR TERLINDUNGI,112,KEPALA KELUARGA,2018
131,32,JAWA BARAT,3274,KOTA CIREBON,AIR HUJAN,0,KEPALA KELUARGA,2018
132,32,JAWA BARAT,3274,KOTA CIREBON,TERMINAL AIR ,0,KEPALA KELUARGA,2018
133,32,JAWA BARAT,3275,KOTA BEKASI,AIR LEDENG ,120251,KEPALA KELUARGA,2018
134,32,JAWA BARAT,3275,KOTA BEKASI,POMPA,602208,KEPALA KELUARGA,2018
135,32,JAWA BARAT,3275,KOTA BEKASI,SUMUR TERLINDUNGI,1938,KEPALA KELUARGA,2018
136,32,JAWA BARAT,3275,KOTA BEKASI,MATA AIR TERLINDUNGI,0,KEPALA KELUARGA,2018
137,32,JAWA BARAT,3275,KOTA BEKASI,AIR HUJAN,0,KEPALA KELUARGA,2018
138,32,JAWA BARAT,3275,KOTA BEKASI,TERMINAL AIR ,638,KEPALA KELUARGA,2018
139,32,JAWA BARAT,3276,KOTA DEPOK,AIR LEDENG ,76054,KEPALA KELUARGA,2018
140,32,JAWA BARAT,3276,KOTA DEPOK,POMPA,344818,KEPALA KELUARGA,2018
141,32,JAWA BARAT,3276,KOTA DEPOK,SUMUR TERLINDUNGI,14951,KEPALA KELUARGA,2018
142,32,JAWA BARAT,3276,KOTA DEPOK,MATA AIR TERLINDUNGI,82,KEPALA KELUARGA,2018
143,32,JAWA BARAT,3276,KOTA DEPOK,AIR HUJAN,0,KEPALA KELUARGA,2018
144,32,JAWA BARAT,3276,KOTA DEPOK,TERMINAL AIR ,6,KEPALA KELUARGA,2018
145,32,JAWA BARAT,3277,KOTA CIMAHI,AIR LEDENG ,20152,KEPALA KELUARGA,2018
146,32,JAWA BARAT,3277,KOTA CIMAHI,POMPA,43178,KEPALA KELUARGA,2018
147,32,JAWA BARAT,3277,KOTA CIMAHI,SUMUR TERLINDUNGI,20869,KEPALA KELUARGA,2018
148,32,JAWA BARAT,3277,KOTA CIMAHI,MATA AIR TERLINDUNGI,121,KEPALA KELUARGA,2018
149,32,JAWA BARAT,3277,KOTA CIMAHI,AIR HUJAN,0,KEPALA KELUARGA,2018
150,32,JAWA BARAT,3277,KOTA CIMAHI,TERMINAL AIR ,493,KEPALA KELUARGA,2018
151,32,JAWA BARAT,3278,KOTA TASIKMALAYA,AIR LEDENG ,20210,KEPALA KELUARGA,2018
152,32,JAWA BARAT,3278,KOTA TASIKMALAYA,POMPA,77715,KEPALA KELUARGA,2018
153,32,JAWA BARAT,3278,KOTA TASIKMALAYA,SUMUR TERLINDUNGI,37064,KEPALA KELUARGA,2018
154,32,JAWA BARAT,3278,KOTA TASIKMALAYA,MATA AIR TERLINDUNGI,1161,KEPALA KELUARGA,2018
155,32,JAWA BARAT,3278,KOTA TASIKMALAYA,AIR HUJAN,0,KEPALA KELUARGA,2018
156,32,JAWA BARAT,3278,KOTA TASIKMALAYA,TERMINAL AIR ,0,KEPALA KELUARGA,2018
157,32,JAWA BARAT,3279,KOTA BANJAR,AIR LEDENG ,7152,KEPALA KELUARGA,2018
158,32,JAWA BARAT,3279,KOTA BANJAR,POMPA,15068,KEPALA KELUARGA,2018
159,32,JAWA BARAT,3279,KOTA BANJAR,SUMUR TERLINDUNGI,18016,KEPALA KELUARGA,2018
160,32,JAWA BARAT,3279,KOTA BANJAR,MATA AIR TERLINDUNGI,1282,KEPALA KELUARGA,2018
161,32,JAWA BARAT,3279,KOTA BANJAR,AIR HUJAN,0,KEPALA KELUARGA,2018
162,32,JAWA BARAT,3279,KOTA BANJAR,TERMINAL AIR ,0,KEPALA KELUARGA,2018
163,32,JAWA BARAT,3204,KABUPATEN BANDUNG,AIR LEDENG  - PERKOTAAN,175634,KEPALA KELUARGA,2019
164,32,JAWA BARAT,3204,KABUPATEN BANDUNG,AIR LEDENG  - PEDESAAN,127005,KEPALA KELUARGA,2019
165,32,JAWA BARAT,3204,KABUPATEN BANDUNG,POMPA ,231906,KEPALA KELUARGA,2019
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SUMUR TERLINDUNG ,254725,KEPALA KELUARGA,2019
167,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MATA AIR TERLINDUNG ,51521,KEPALA KELUARGA,2019
168,32,JAWA BARAT,3204,KABUPATEN BANDUNG,AIR HUJAN ,5,KEPALA KELUARGA,2019
169,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TERMINAL AIR ,2617,KEPALA KELUARGA,2019
170,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,AIR LEDENG  - PERKOTAAN,19467,KEPALA KELUARGA,2019
171,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,AIR LEDENG  - PEDESAAN,30122,KEPALA KELUARGA,2019
172,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,POMPA ,165133,KEPALA KELUARGA,2019
173,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SUMUR TERLINDUNG ,89558,KEPALA KELUARGA,2019
174,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MATA AIR TERLINDUNG ,53702,KEPALA KELUARGA,2019
175,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,AIR HUJAN ,104,KEPALA KELUARGA,2019
176,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,TERMINAL AIR ,1369,KEPALA KELUARGA,2019
177,32,JAWA BARAT,3216,KABUPATEN BEKASI,AIR LEDENG  - PERKOTAAN,10166,KEPALA KELUARGA,2019
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,AIR LEDENG  - PEDESAAN,149219,KEPALA KELUARGA,2019
179,32,JAWA BARAT,3216,KABUPATEN BEKASI,POMPA ,578676,KEPALA KELUARGA,2019
180,32,JAWA BARAT,3216,KABUPATEN BEKASI,SUMUR TERLINDUNG ,3196,KEPALA KELUARGA,2019
181,32,JAWA BARAT,3216,KABUPATEN BEKASI,MATA AIR TERLINDUNG ,149,KEPALA KELUARGA,2019
182,32,JAWA BARAT,3216,KABUPATEN BEKASI,AIR HUJAN ,800,KEPALA KELUARGA,2019
183,32,JAWA BARAT,3216,KABUPATEN BEKASI,TERMINAL AIR ,2035,KEPALA KELUARGA,2019
184,32,JAWA BARAT,3201,KABUPATEN BOGOR,AIR LEDENG  - PERKOTAAN,145214,KEPALA KELUARGA,2019
185,32,JAWA BARAT,3201,KABUPATEN BOGOR,AIR LEDENG  - PEDESAAN,204842,KEPALA KELUARGA,2019
186,32,JAWA BARAT,3201,KABUPATEN BOGOR,POMPA ,204259,KEPALA KELUARGA,2019
187,32,JAWA BARAT,3201,KABUPATEN BOGOR,SUMUR TERLINDUNG ,436469,KEPALA KELUARGA,2019
188,32,JAWA BARAT,3201,KABUPATEN BOGOR,MATA AIR TERLINDUNG ,8966,KEPALA KELUARGA,2019
189,32,JAWA BARAT,3201,KABUPATEN BOGOR,AIR HUJAN ,0,KEPALA KELUARGA,2019
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,TERMINAL AIR ,0,KEPALA KELUARGA,2019
191,32,JAWA BARAT,3207,KABUPATEN CIAMIS,AIR LEDENG  - PERKOTAAN,4696,KEPALA KELUARGA,2019
192,32,JAWA BARAT,3207,KABUPATEN CIAMIS,AIR LEDENG  - PEDESAAN,26852,KEPALA KELUARGA,2019
193,32,JAWA BARAT,3207,KABUPATEN CIAMIS,POMPA ,170347,KEPALA KELUARGA,2019
194,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SUMUR TERLINDUNG ,96118,KEPALA KELUARGA,2019
195,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MATA AIR TERLINDUNG ,16422,KEPALA KELUARGA,2019
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,AIR HUJAN ,0,KEPALA KELUARGA,2019
197,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TERMINAL AIR ,0,KEPALA KELUARGA,2019
198,32,JAWA BARAT,3203,KABUPATEN CIANJUR,AIR LEDENG  - PERKOTAAN,34992,KEPALA KELUARGA,2019
199,32,JAWA BARAT,3203,KABUPATEN CIANJUR,AIR LEDENG  - PEDESAAN,255682,KEPALA KELUARGA,2019
