"Centroid","Nama Kabupaten/Kota","Tahun","Member of the cluster","Jumlah Banjir","Jumlah Puting Beliung","Jumlah Tanah Longsor"
"3","KOTA DEPOK","2012","[0 0 0]","0","0","0"
"3","KOTA CIMAHI","2012","[0 1 0]","0","1","0"
"3","KOTA TASIKMALAYA","2012","[0 0 0]","0","0","0"
"3","KOTA BANJAR","2012","[ 1 14  8]","1","14","8"
"3","KABUPATEN CIREBON","2013","[7 1 2]","7","1","2"
"3","KABUPATEN MAJALENGKA","2013","[ 4  4 12]","4","4","12"
"3","KABUPATEN SUMEDANG","2013","[1 1 7]","1","1","7"
"3","KABUPATEN INDRAMAYU","2013","[5 1 0]","5","1","0"
"3","KABUPATEN PURWAKARTA","2013","[2 3 2]","2","3","2"
"3","KOTA BOGOR","2013","[1 1 3]","1","1","3"
"3","KOTA SUKABUMI","2013","[ 5  3 11]","5","3","11"
"3","KOTA BANDUNG","2013","[1 1 0]","1","1","0"
"3","KOTA CIREBON","2013","[1 0 0]","1","0","0"
"3","KOTA DEPOK","2013","[1 1 1]","1","1","1"
"3","KOTA CIMAHI","2013","[11  0  7]","11","0","7"
"3","KOTA TASIKMALAYA","2013","[0 1 3]","0","1","3"
"3","KOTA BANJAR","2013","[0 5 1]","0","5","1"
"3","KABUPATEN CIANJUR","2014","[ 2  1 14]","2","1","14"
"3","KABUPATEN CIREBON","2014","[15  6  2]","15","6","2"
"3","KABUPATEN MAJALENGKA","2014","[4 1 8]","4","1","8"
"3","KABUPATEN SUMEDANG","2014","[1 1 1]","1","1","1"
"3","KABUPATEN INDRAMAYU","2014","[1 0 0]","1","0","0"
"3","KABUPATEN SUBANG","2014","[1 2 2]","1","2","2"
"3","KABUPATEN PURWAKARTA","2014","[0 1 1]","0","1","1"
"3","KABUPATEN KARAWANG","2014","[1 2 1]","1","2","1"
"3","KABUPATEN BEKASI","2014","[3 0 0]","3","0","0"
"3","KABUPATEN BANDUNG BARAT","2014","[ 2  1 11]","2","1","11"
"3","KABUPATEN PANGANDARAN","2014","[2 0 0]","2","0","0"
"3","KOTA BOGOR","2014","[1 0 3]","1","0","3"
"3","KOTA SUKABUMI","2014","[2 1 4]","2","1","4"
"3","KOTA BANDUNG","2014","[2 3 2]","2","3","2"
"3","KOTA CIREBON","2014","[2 1 1]","2","1","1"
"3","KOTA BEKASI","2014","[1 0 0]","1","0","0"
"3","KOTA DEPOK","2014","[2 1 1]","2","1","1"
"3","KOTA CIMAHI","2014","[0 0 0]","0","0","0"
"3","KOTA TASIKMALAYA","2014","[4 1 0]","4","1","0"
"3","KOTA BANJAR","2014","[1 1 5]","1","1","5"
"3","KABUPATEN CIANJUR","2015","[3 2 9]","3","2","9"
