id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_banjir,jumlah_puting_beliung,jumlah_tanah_longsor,jumlah_bencana_alam,satuan,tahun
78,32,JAWA BARAT,3276,KOTA DEPOK,2,3,1,6,KEJADIAN,2019
79,32,JAWA BARAT,3277,KOTA CIMAHI,6,13,6,25,KEJADIAN,2019
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,6,28,18,52,KEJADIAN,2019
81,32,JAWA BARAT,3279,KOTA BANJAR,0,2,1,3,KEJADIAN,2019
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,43,183,133,359,KEJADIAN,2020
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,13,24,128,165,KEJADIAN,2020
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,4,1,21,26,KEJADIAN,2020
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,19,15,16,50,KEJADIAN,2020
86,32,JAWA BARAT,3205,KABUPATEN GARUT,15,11,72,98,KEJADIAN,2020
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,6,5,29,40,KEJADIAN,2020
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,12,54,77,143,KEJADIAN,2020
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,4,5,51,60,KEJADIAN,2020
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,30,21,5,56,KEJADIAN,2020
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,13,9,53,75,KEJADIAN,2020
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,21,9,82,112,KEJADIAN,2020
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,5,4,0,9,KEJADIAN,2020
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,7,11,18,36,KEJADIAN,2020
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,5,12,19,36,KEJADIAN,2020
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,8,3,0,11,KEJADIAN,2020
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,16,4,1,21,KEJADIAN,2020
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3,12,34,49,KEJADIAN,2020
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,10,24,5,39,KEJADIAN,2020
100,32,JAWA BARAT,3271,KOTA BOGOR,10,30,73,113,KEJADIAN,2020
101,32,JAWA BARAT,3272,KOTA SUKABUMI,0,3,0,3,KEJADIAN,2020
102,32,JAWA BARAT,3273,KOTA BANDUNG,8,2,5,15,KEJADIAN,2020
103,32,JAWA BARAT,3274,KOTA CIREBON,4,4,3,11,KEJADIAN,2020
104,32,JAWA BARAT,3275,KOTA BEKASI,5,1,0,6,KEJADIAN,2020
105,32,JAWA BARAT,3276,KOTA DEPOK,5,3,6,14,KEJADIAN,2020
106,32,JAWA BARAT,3277,KOTA CIMAHI,13,5,1,19,KEJADIAN,2020
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,3,5,8,KEJADIAN,2020
108,32,JAWA BARAT,3279,KOTA BANJAR,1,12,15,28,KEJADIAN,2020
